Tweets,Subjectivity,Polarity
"คุณลุงพูดเรื่องคนพิการอยู่หน้าร้าน The Coffee Academics นะคะ เผื่อใครอยากมาฟังคุณลุงพูด
 ม็อบ18พฤศจิกา ",0.0,0.0
ถ้าไม่กล้าแม้กระทั้งอยู่เคียงข้างประชาชน​ อีพวก​ สส.สว. ขยะ​ ก็ควรลาออกไปให้คนที่เค้าพร้อมทำงานเพื่อประชาชนเขาได้ทำงาน​…,0.0,0.0
"อัปเดต ม็อบ18พฤศจิกา - 18.00

ห่วงยางเป็ดสีเหลือง ที่ทางกลุ่มผู้ชุมนุมเตรียมมาเพื่อใช้เป็นโล่ ป้องกันจนท. หากมีการฉีดน้ำสลายการ…",0.0,0.0
เฌอเอมปังมาก!!! ม็อบ18พฤศจิกา ,0.0,0.0
"AMANDA OBDAM SPOKE OUT! 👑 

MissUniverseThailand2020 MissUniverse2020 ม็อบ18พฤศจิกา 18พฤศจิกาไปราษฎร์ประสงค์ whatisha…",0.0,0.0
เมื่อม็อบไม่มีมินเนี่ยนไม่มีตำรวจก็ตามที่เห็นเลยไม่มีความรุนแรงไม่มีใครบาดเจ็บ ถ้าฉลาดมากพอก็รู้แล้วเนอะว่าความรุนแรงที่เกิ…,0.0,0.0
ขนาดเป็ดยังทำหน้าที่ปกป้องประชาชนได้ดีกว่าตำรวจเลย... ม็อบ18พฤศจิกา ,0.0,0.0
กลุ่มอาชีวะหน้ากู “มอบตัวซะ เป็ดกูได้ล้อมไว้หมดแล้ว “ 55555555555555555555 ม็อบ18พฤศจิกา,0.0,0.0
"ถวายบังคมพ่ะย่ะค่ะ กรมหลวงเกียกกายราษฎรบริรักษ์ (องค์เป็ด) 
ม็อบ18พฤศจิกา ",0.0,0.0
คนไปม็อบไม่เเผ่วเลย ไปกันเยอะมาก ในเวลาไม่กี่วัน ทุกคนยิ่งรับมือสถานการณ์ได้ดีขึ้น วางเเผนกระจายสิ่งของ ปกป้องตัวเองอ…,0.0,0.0
"คิดยังไงกับการที่ไม่ให้พระยุ่งเกี่ยวการเมืองครับ
""เป็นพระอยู่ ให้พระไปเกณฑ์ทหาร นี่เกี่ยวกับการเมืองแล้ว""
ม็อบ18พฤศจิกา http…",0.0,0.0
"“แต่งตั้งบิ๊กแดงเป็นรอง ผอ.ทรัพย์สิน” แหมมมมมม พอเค้าประกาศก็แค่งตั้งทันทีเลยน้าาาา โอเค!!นัมเบอร์วันนนน!!
 ม็อบ18พฤศจิกา h…",0.0,0.0
ตำรวจชี้ให้ดูแล้วว่าตรงนี้นะคะ ห้ามเปิดฝาตรงนี้นะคะ ห้ามเปิดฝาใส่ตรงนี้นะคะ เหลืออีกกี่คันนะ ม็อบ18พฤศจิกา ,0.0,0.0
"สีสันของประชาธิปไตยและคนที่มีอุดมการณ์เดียวกัน III
 ม็อบ18พฤศจิกา ",0.0,0.0
รวมเจ้าเป็ดก้าบๆใน ม็อบ18พฤศจิกา (1) 🐣🦆🐥 ,0.0,0.0
"ใครเป็นคนทัม55555555555555555
5555555555555555555555555555555555555555555555555555555555
ม็อบ18พฤศจิกา ",0.0,0.0
"ริบบิ้นสีส้ม = เด็กต่ำกว่า 15 ปี
ริบบิ้นสีชมพู = เด็กต่ำกว่า 18 ปี
ผ้าผูกสีแดง = ฝ่ายแพทย์​และพยาบาล

ฝากกระจายข่าวด้วยค่ะ…",0.0,0.0
'สมเด็จพระเจ้าน้อนยาเธอกรมหลวงเกียกกายราษฎรบริรักษ์' พระองค์ทรงงานหนักมากจริงๆ พระองค์ทรงปกป้องราษฎรอย่างเต็มที่โดยที่ไม่เห…,0.0,0.0
"แม่เจี๊ยบปังมาก ผู้(เต้น)แทนราษฎร5555
ม็อบ18พฤศจิกา ก้าวไกล ",0.0,0.0
ฝากด้วยนะคะ ตำรวจดำเนินคดีกับคณพศ แย้มสงวนศักดิ์ เยาวชนอายุ16ปี นับว่าเด็กที่สุดแล้วที่โดน ตอนนี้ได้รับหมายเรียกผู้ต้อง…,0.0,0.0
Oops 🤭 ม็อบ18พฤศจิกา ,0.0,0.0
"ไม่ได้ฉีดเอาชนะ ฉีดเพราะอยากกวนตีน 555555555555555
ม็อบ18พฤศจิกา ",0.0,0.0
ช่วยกันรีหน่อยครับ รถน้ำมาแล้ว ม็อบ18พฤศจิกา ,0.0,0.0
"“ราษฎรโต้กลับ!”
—
18พฤศจิกาไปราษฎร์ประสงค์
ม็อบ18พฤศจิกา ",0.0,0.0
LOVE DUCKS ALL THE SAME🐤. ม็อบ18พฤศจิกา 18พฤศจิกาไปราษฎร์ประสงค์ เป็ดยาง ,0.6,0.5
"แกนนำอาชีวะยังปราศรัยต่อ 

""อย่าให้เรื่องนี้เงียบ เมื่อวานเด็กอาชีวะโดนยิงไป 7 คน โดนฟันไป 2 คน โดนก้อนหินอีกหลายคน อาชีวะไม่…",0.0,0.0
โอ้ย น่ารักกกกก ปังมากแม่ นักข่าวมาเอาคลิปแบบนี้ลงบ้างดิ คนที่ไม่ได้เล่นทวิตเขาจะได้เห็นว่าม็อบไม่ได้รุนแรงอย่างที่เขาคิดกัน…,0.0,0.0
ลำเลียงถังสีแล้วค่าาา ม็อบ18พฤศจิกา ,0.0,0.0
โหดสัสดดด ม็อบ18พฤศจิกา ,0.0,0.0
Royal Thai Police headquarters in Bangkok. Whatshappeninginthailand ม็อบ18พฤศจิกา ,0.0,0.0
โอ้ย​ กุอายมาก​ ก็กล้าที่จะแจ้งจับคนที่เอาประชาธิปไตย​ ในประเทศที่ประท้วงจนได้ประชาธิปไตยเนาะ​ ออกมา​ นตซเกาหลีออกมาแสดงพลัง…,0.0,0.0
"แกนนำอาชีวะยังปราศรัยต่อ 

""อย่าให้เรื่องนี้เงียบ เมื่อวานเด็กอาชีวะโดนยิงไป 7 คน โดนฟันไป 2 คน โดนก้อนหินอีกหลายคน อาชีวะไม่…",0.0,0.0
อิมแพคชิบหาย ม็อบ18พฤศจิกา ,0.0,0.0
คนไปม็อบไม่เเผ่วเลย ไปกันเยอะมาก ในเวลาไม่กี่วัน ทุกคนยิ่งรับมือสถานการณ์ได้ดีขึ้น วางเเผนกระจายสิ่งของ ปกป้องตัวเองอ…,0.0,0.0
ช่วยน้องเขาหน่อยค่ะแบบสอบถามจบ ป.โท เรียนไปด้วยต่อสู้เพื่อประชาธิปไตยไปด้วยค่ะ ม็อบ18พฤศจิกา ,0.0,0.0
รวมเจ้าเป็ดก้าบๆใน ม็อบ18พฤศจิกา (1) 🐣🦆🐥 ,0.0,0.0
ประเทศไทยเป็นประชาธิปไตย ที่มีหมากษัตริย์เป็นฆาตกร ม็อบ18พฤศจิกา ,0.0,0.0
สาดสีเหลืองเข้าไปแล้ว สุดจัด เอาอีกๆๆ ม็อบ18พฤศจิกา ,0.0,0.0
"เราคือเพื่อนกัน lll 
ม็อบ18พฤศจิกา ",0.0,0.0
"คำขอของแกนนำอาชีวะ
- อย่าให้เรื่องเมื่อวานเงียบ อย่าให้พี่น้องอาชีวะถูกยิงฟรี อยากให้ทุกคนและสื่อเป็นกระบอกเสียง
-อย่าทิ้ง…",0.0,0.0
"สีสันของประชาธิปไตยและคนที่มีอุดมการณ์เดียวกัน III
 ม็อบ18พฤศจิกา ",0.0,0.0
โอโหหหหหหหปังมากกกกก เอาอีกกกสาดดอีกสาดเยอะๆๆๆๆๆๆ ม็อบ18พฤศจิกา  ,0.0,0.0
"เต็มพื้นที่ราชประสงค์แล้วครับ 

ม็อบ18พฤศจิกา 
18พฤศจิกาไปราษฎร์ประสงค์ ",0.0,0.0
"ทุกคนคะ มิว ลักษณ์นารา ออกมาเป็นกระบอกเสียงประชาธิปไตยล่าสุดโดนแคนเซิลละครแล้วค่ะ 
ใครอยากจากงานนางติดต่อเบอร์และไอดีไลน์…",0.0,0.0
"แต่ละคนมีความสามารถกันมากๆเลยอ่ะ ถ้าการเมืองดีพวกเค้าคงถูกผลักดันไปได้ไกลกว่านี้ ม็อบ18พฤศจิกา 
 ",0.0,0.0
"ไม่มีตำรวจ  = ไม่มีความรุนแรง
ไม่มีรถฉีดน้ำ =ไม่มีความรุนแรง
ไม่มีเสื้อเหลือง =ไม่มีความรุนแรง
ม็อบ18พฤศจิกา ",0.0,0.0
อิมแพคชิบหาย ม็อบ18พฤศจิกา ,0.0,0.0
"ล่าสุดสถานทูตไทยในเกาหลี แจ้งจับคนที่ติดโปสเตอร์เตอร์สนับสนุนประชาธิปไตยที่แล้วจ้าา
ม็อบ18พฤศจิกา ",0.0,0.0
"แกนนำอาชีวะยังปราศรัยต่อ 

""อย่าให้เรื่องนี้เงียบ เมื่อวานเด็กอาชีวะโดนยิงไป 7 คน โดนฟันไป 2 คน โดนก้อนหินอีกหลายคน อาชีวะไม่…",0.0,0.0
เห็นกี่ครั้งก็ขนลุกคนเยอะมาก ยิ่งพวกมันใช้วิธีรุนแรงเท่าไหร่ คิดว่าคนจะกลัวแล้วไม่กล้าออกมาอีกมึงคิดผิด ยิ่งมึงทำรุนแรงเท่…,0.0,0.0
ม็อบประเทศไทยนี่มันโคตรสุดเลย สุดเรื่องความกวนตีนด้วย รถน้ำของตัวเองละหนึ่ง ป้ายที่ติดอยู่กับรถน้ำเรารักในหลวงละสอง พลเอกเ…,0.0,0.0
"ไม่มีตำรวจ  = ไม่มีความรุนแรง
ไม่มีรถฉีดน้ำ =ไม่มีความรุนแรง
ไม่มีเสื้อเหลือง =ไม่มีความรุนแรง
ม็อบ18พฤศจิกา ",0.0,0.0
คนไปม็อบไม่เเผ่วเลย ไปกันเยอะมาก ในเวลาไม่กี่วัน ทุกคนยิ่งรับมือสถานการณ์ได้ดีขึ้น วางเเผนกระจายสิ่งของ ปกป้องตัวเองอ…,0.0,0.0
แกนนำบอก ถ้าวันนี้ตำรวจใช้แก๊สน้ำตากับประชาชนอีก แกนนำจะโทรเรียกรถส้วมมาใน15นาที อห กุอย่างชอบ5555555555555555 ม็อบ18พฤศจิกา,0.0,0.0
